,actual,forecast,error,lower_ci,upper_ci
2018-01-04 23:00:00+00:00,50522.0,44404.00202252121,6117.9979774787935,,
2018-01-05 00:00:00+00:00,48317.0,42345.28358424765,5971.716415752351,,
2018-01-05 01:00:00+00:00,47506.0,41223.46300741,6282.536992590001,,
2018-01-05 02:00:00+00:00,47723.0,41127.24714999748,6595.752850002522,,
2018-01-05 03:00:00+00:00,48933.0,41808.94771856157,7124.052281438431,,
2018-01-05 04:00:00+00:00,51432.0,43128.47802649748,8303.521973502517,,
2018-01-05 05:00:00+00:00,56931.0,45779.929837862976,11151.070162137024,,
2018-01-05 06:00:00+00:00,63232.0,49669.74876986744,13562.251230132562,,
2018-01-05 07:00:00+00:00,65837.0,52949.79329407975,12887.206705920253,,
2018-01-05 08:00:00+00:00,66684.0,55380.45493506487,11303.545064935133,,
2018-01-05 09:00:00+00:00,67318.0,57184.387365866554,10133.612634133446,,
2018-01-05 10:00:00+00:00,68898.0,58621.10116445122,10276.898835548782,,
2018-01-05 11:00:00+00:00,69374.0,58449.795040178506,10924.204959821494,,
2018-01-05 12:00:00+00:00,67633.0,57172.64251475245,10460.35748524755,,
2018-01-05 13:00:00+00:00,65838.0,56135.08633940296,9702.913660597042,,
2018-01-05 14:00:00+00:00,64648.0,55995.53562483257,8652.46437516743,,
2018-01-05 15:00:00+00:00,65115.0,57632.80715746992,7482.192842530079,,
2018-01-05 16:00:00+00:00,67075.0,60155.86953924301,6919.130460756991,,
2018-01-05 17:00:00+00:00,66731.0,59873.18656416788,6857.813435832119,,
2018-01-05 18:00:00+00:00,64664.0,58071.27859921973,6592.721400780269,,
2018-01-05 19:00:00+00:00,60400.0,54643.33807921105,5756.661920788953,,
2018-01-05 20:00:00+00:00,56600.0,52189.66440039259,4410.33559960741,,
2018-01-05 21:00:00+00:00,55158.0,50890.88615021584,4267.11384978416,,
2018-01-05 22:00:00+00:00,51764.0,47503.57808658101,4260.421913418992,,
2018-01-05 23:00:00+00:00,48243.0,44373.49632991007,3869.503670089929,,
2018-01-06 00:00:00+00:00,45520.0,42308.938475981,3211.061524019002,,
2018-01-06 01:00:00+00:00,43556.0,41185.49935053983,2370.5006494601694,,
2018-01-06 02:00:00+00:00,43367.0,41088.857546441,2278.1424535589977,,
2018-01-06 03:00:00+00:00,43730.0,41771.562414537075,1958.4375854629252,,
2018-01-06 04:00:00+00:00,43617.0,43092.93789549206,524.0621045079388,,
2018-01-06 05:00:00+00:00,44234.0,45748.74162224358,-1514.7416222435786,,
2018-01-06 06:00:00+00:00,47184.0,49642.36748821426,-2458.3674882142586,,
2018-01-06 07:00:00+00:00,49749.0,52923.48673881535,-3174.4867388153507,,
2018-01-06 08:00:00+00:00,53063.0,55352.45245457728,-2289.45245457728,,
2018-01-06 09:00:00+00:00,55034.0,57154.23169528746,-2120.2316952874608,,
2018-01-06 10:00:00+00:00,56657.0,58588.94478876965,-1931.9447887696515,,
2018-01-06 11:00:00+00:00,56980.0,58416.90662504922,-1436.9066250492178,,
2018-01-06 12:00:00+00:00,55655.0,57139.859837433745,-1484.8598374337453,,
2018-01-06 13:00:00+00:00,54036.0,56102.12805563566,-2066.128055635658,,
2018-01-06 14:00:00+00:00,53707.0,55961.734167684015,-2254.734167684015,,
2018-01-06 15:00:00+00:00,55457.0,57597.639917849425,-2140.639917849425,,
2018-01-06 16:00:00+00:00,58878.0,60119.439013702664,-1241.439013702664,,
2018-01-06 17:00:00+00:00,59725.0,59836.87734368751,-111.87734368751262,,
2018-01-06 18:00:00+00:00,58107.0,58036.29820459125,70.7017954087496,,
2018-01-06 19:00:00+00:00,54394.0,54608.770748377596,-214.77074837759574,,
2018-01-06 20:00:00+00:00,51810.0,52155.09923441315,-345.09923441315186,,
2018-01-06 21:00:00+00:00,50519.0,50854.276099070885,-335.2760990708848,,
2018-01-06 22:00:00+00:00,47155.0,47464.2089790357,-309.2089790356986,,
2018-01-06 23:00:00+00:00,43730.0,44331.20041050702,-601.2004105070228,,
2018-01-07 00:00:00+00:00,41666.0,42264.90733410039,-598.9073341003896,,
2018-01-07 01:00:00+00:00,40668.0,41140.987245822595,-472.98724582259456,,
2018-01-07 02:00:00+00:00,40486.0,41044.218868739765,-558.2188687397647,,
2018-01-07 03:00:00+00:00,40709.0,41727.22217134109,-1018.2221713410909,,
2018-01-07 04:00:00+00:00,40166.0,43049.14595813464,-2883.1459581346426,,
2018-01-07 05:00:00+00:00,39323.0,45706.242886439846,-6383.242886439846,,
2018-01-07 06:00:00+00:00,41280.0,49601.00000899141,-8321.00000899141,,
2018-01-07 07:00:00+00:00,44694.0,52882.43862192207,-8188.438621922069,,
2018-01-07 08:00:00+00:00,48606.0,55310.90038185328,-6704.90038185328,,
2018-01-07 09:00:00+00:00,51488.0,57112.03978733582,-5624.039787335823,,
2018-01-07 10:00:00+00:00,54986.0,58546.158357552384,-3560.1583575523837,,
2018-01-07 11:00:00+00:00,54814.0,58373.90266328111,-3559.9026632811074,,
2018-01-07 12:00:00+00:00,53579.0,57096.88729638245,-3517.887296382447,,
2018-01-07 13:00:00+00:00,51479.0,56059.10333192176,-4580.10333192176,,
2018-01-07 14:00:00+00:00,51070.0,55918.45888920746,-4848.458889207461,,
2018-01-07 15:00:00+00:00,53121.0,57553.9587877287,-4432.958787728698,,
2018-01-07 16:00:00+00:00,58112.0,60075.382489492345,-1963.3824894923455,,
2018-01-07 17:00:00+00:00,59503.0,59792.85686610911,-289.85686610911216,,
2018-01-07 18:00:00+00:00,58079.0,57992.67259674349,86.32740325650957,,
2018-01-07 19:00:00+00:00,55434.0,54565.267885274174,868.7321147258262,,
2018-01-07 20:00:00+00:00,53209.0,52111.59701461098,1097.402985389017,,
2018-01-07 21:00:00+00:00,53583.0,50810.16622759384,2772.8337724061566,,
2018-01-07 22:00:00+00:00,50074.0,47419.27923499516,2654.7207650048367,,
2018-01-07 23:00:00+00:00,47006.0,44285.40094421637,2720.5990557836267,,
2018-01-08 00:00:00+00:00,45221.0,42218.592234529904,3002.407765470096,,
2018-01-08 01:00:00+00:00,44728.0,41094.5292248411,3633.4707751589012,,
2018-01-08 02:00:00+00:00,45589.0,40997.723235726546,4591.276764273454,,
2018-01-08 03:00:00+00:00,46927.0,41680.81522019128,5246.184779808718,,
2018-01-08 04:00:00+00:00,51221.0,43002.9019398315,8218.0980601685,,
2018-01-08 05:00:00+00:00,60104.0,45660.3831518624,14443.6168481376,,
2018-01-08 06:00:00+00:00,67203.0,49555.47643507848,17647.523564921517,,
2018-01-08 07:00:00+00:00,70555.0,52837.00994871932,17717.990051280678,,
2018-01-08 08:00:00+00:00,71484.0,55265.32195471338,16218.678045286622,,
2018-01-08 09:00:00+00:00,72192.0,57066.271228762474,15125.728771237526,,
2018-01-08 10:00:00+00:00,72491.0,58500.21313230641,13990.78686769359,,
2018-01-08 11:00:00+00:00,71926.0,58327.892797337554,13598.107202662446,,
2018-01-08 12:00:00+00:00,71263.0,57050.88676732076,14212.113232679243,,
2018-01-08 13:00:00+00:00,70596.0,56013.0872964234,14582.9127035766,,
2018-01-08 14:00:00+00:00,70163.0,55872.368399640116,14290.631600359884,,
2018-01-08 15:00:00+00:00,70825.0,57507.74769655717,13317.25230344283,,
2018-01-08 16:00:00+00:00,74529.0,60029.05984738822,14499.94015261178,,
2018-01-08 17:00:00+00:00,74070.0,59746.54493550929,14323.455064490707,,
2018-01-08 18:00:00+00:00,71855.0,57946.47800439679,13908.521995603209,,
2018-01-08 19:00:00+00:00,67214.0,54519.109767371505,12694.890232628495,,
2018-01-08 20:00:00+00:00,63825.0,52065.439087869694,11759.560912130306,,
2018-01-08 21:00:00+00:00,61265.0,50763.827732982936,10501.172267017064,,
2018-01-08 22:00:00+00:00,55896.0,47372.69710961966,8523.302890380342,,
2018-01-08 23:00:00+00:00,52506.0,44238.56037489945,8267.439625100553,,
2018-01-09 00:00:00+00:00,50807.0,42171.598441241586,8635.401558758414,,
2018-01-09 01:00:00+00:00,50101.0,41047.49296147366,9053.507038526339,,
2018-01-09 02:00:00+00:00,50519.0,40950.675795685485,9568.324204314515,,
2018-01-09 03:00:00+00:00,52286.0,41633.79413257517,10652.205867424833,,
2018-01-09 04:00:00+00:00,55217.0,42955.929268830085,12261.070731169915,,
2018-01-09 05:00:00+00:00,63336.0,45613.52467341004,17722.475326589964,,
2018-01-09 06:00:00+00:00,70308.0,49508.71784907692,20799.282150923078,,
2018-01-09 07:00:00+00:00,72815.0,52790.27956311574,20024.720436884258,,
2018-01-09 08:00:00+00:00,72132.0,55218.54706869859,16913.452931301414,,
2018-01-09 09:00:00+00:00,72336.0,57019.43984388609,15316.560156113912,,
2018-01-09 10:00:00+00:00,72365.0,58453.32924971459,13911.670750285411,,
2018-01-09 11:00:00+00:00,71846.0,58280.98970631838,13565.010293681618,,
2018-01-09 12:00:00+00:00,71378.0,57003.98645082017,14374.013549179828,,
2018-01-09 13:00:00+00:00,70138.0,55966.18237207863,14171.817627921373,,
2018-01-09 14:00:00+00:00,69248.0,55825.44135075726,13422.55864924274,,
2018-01-09 15:00:00+00:00,69898.0,57460.78481007912,12437.215189920877,,
2018-01-09 16:00:00+00:00,73104.0,59982.063812784225,13121.936187215775,,
2018-01-09 17:00:00+00:00,72960.0,59699.552083902396,13260.447916097604,,
2018-01-09 18:00:00+00:00,70966.0,57899.52002065791,13066.47997934209,,
2018-01-09 19:00:00+00:00,66518.0,54472.16262226423,12045.83737773577,,
2018-01-09 20:00:00+00:00,63339.0,52018.49199956733,11320.508000432666,,
2018-01-09 21:00:00+00:00,60343.0,50716.826987697656,9626.173012302344,,
2018-01-09 22:00:00+00:00,56096.0,47325.623967778985,8770.376032221015,,
2018-01-09 23:00:00+00:00,52324.0,44191.410434666126,8132.589565333874,,
2018-01-10 00:00:00+00:00,49822.0,42124.40296945256,7697.59703054744,,
2018-01-10 01:00:00+00:00,48238.0,41000.28486940885,7237.715130591147,,
2018-01-10 02:00:00+00:00,48493.0,40903.46438239533,7589.53561760467,,
2018-01-10 03:00:00+00:00,49705.0,41586.590550089124,8118.409449910876,,
2018-01-10 04:00:00+00:00,53732.0,42908.74007367372,10823.259926326282,,
2018-01-10 05:00:00+00:00,61740.0,45566.36941135409,16173.630588645909,,
2018-01-10 06:00:00+00:00,67622.0,49461.592270748966,18160.407729251034,,
2018-01-10 07:00:00+00:00,69601.0,52743.162364729775,16857.837635270225,,
2018-01-10 08:00:00+00:00,69086.0,55171.416646709724,13914.583353290276,,
2018-01-10 09:00:00+00:00,68854.0,56972.292632872355,11881.707367127645,,
2018-01-10 10:00:00+00:00,69455.0,58406.16643864407,11048.833561355932,,
2018-01-10 11:00:00+00:00,68659.0,58233.82118733171,10425.178812668288,,
2018-01-10 12:00:00+00:00,67923.0,56956.81875630076,10966.18124369924,,
2018-01-10 13:00:00+00:00,67790.0,55919.01330830667,11870.986691693332,,
2018-01-10 14:00:00+00:00,67378.0,55778.26571252682,11599.734287473177,,
2018-01-10 15:00:00+00:00,67708.0,57413.59852246108,10294.401477538922,,
2018-01-10 16:00:00+00:00,70321.0,59934.86767497284,10386.13232502716,,
2018-01-10 17:00:00+00:00,70312.0,59652.35689194045,10659.64310805955,,
2018-01-10 18:00:00+00:00,69509.0,57852.33518992248,11656.66481007752,,
2018-01-10 19:00:00+00:00,65464.0,54424.981012302625,11039.018987697375,,
2018-01-10 20:00:00+00:00,61943.0,51971.31040648571,9971.68959351429,,
2018-01-10 21:00:00+00:00,59056.0,50669.629450074935,8386.370549925065,,
2018-01-10 22:00:00+00:00,54819.0,47278.40491702248,7540.595082977517,,
